170	1874
738	1074
1738	132
432	1374
1287	448
1090	1526
937	904
548	1096
2583	724
2261	1526
504	1568
1215	788
579	1664
1019	940
954	1526
2606	1373
0	1568
724	1060
780	1178
740	859
1250	646
120	1688
1029	784
518	1676
747	1060
784	738
344	1700
511	1440
503	940
1139	746
332	1688
817	918
718	1119
903	904
1130	312
132	1850
702	1216
683	940
945	1119
80	1038
780	1038
1175	784
198	1688
867	1352
661	969
1531	590
232	1688
470	1074
747	1060
1215	830
0	1544
746	1060
623	1216
627	918
904	746
512	1688
582	1232
276	1374
747	1216
820	1194
830	1352
590	1216
541	1465
589	1374
120	1688
346	1544
354	1374
433	1530
0	1890
153	1688
8811	830
5731	1164
5479	1754
6558	1530
156	626
780	410
8601	8229
6659	6742
511	1352
1217	746
8125	1410
1624	441
2296	2311
5690	289
1369	306
8674	7872
3870	1655
3830	168
310	1664
6585	1096
5935	5668
3954	3967
9676	380
8839	8886
780	120
1066	138
1402	932
389	44
2326	2329
3723	83
8349	7338
2556	1466
3817	3837
1766	99
2774	137
717	2024
1411	1096
1395	187
2513	1971
3735	3752
9073	1846
2536	2630
2053	348
9587	7003
3861	874
1777	1791
9516	1060
310	1664
2401	1417
7627	1374
1541	1076
235	448
2641	106
1242	137
470	1568
4041	132
3540	153
3518	2899
1359	935
3438	1822
4390	1655
1503	829
2167	1870
1592	1606
702	746
2191	306
1156	1163
817	83
602	166
5235	5392
2866	1830
3236	475
78	1410
3293	78
8600	1822
3693	1568
120	1530
2931	410
3653	1568
1047	1058
8665	970
2040	1816
1580	168
1494	807
2943	2959
1120	746
7034	1874
347	1702
1482	413
4118	3256
6254	1890
3527	1530
120	904
1771	312
466	764
276	432
435	696
4123	432
9206	3710
5235	1568
5197	1688
1253	187
190	1568
589	1352
1755	746
6507	1568
5957	1526
3525	3265
1379	1465
153	1688
1004	1004
3962	940
4339	1822
8161	1781
0	1096
6224	2364
394	1874
4108	1074
6059	1530
1206	1078
1561	1392
9449	1530
325	2088
1638	626
432	1060
4444	590
6759	4415
1094	1069
1247	1258
1052	940
198	1822
1341	204
9035	3338
1487	1497
8142	6501
2103	1855
2141	2097
943	1615
2376	130
4054	4034
7220	168
8885	1568
1596	698
1254	701
408	423
6468	117
4131	168
1027	154
3312	1688
6279	6409
2508	312
1158	1104
1661	1285
6919	870
3985	1754
466	2088
1928	470
2180	218
8824	1128
1469	1350
2897	1688
5562	1874
1257	170
1682	1396
2217	2048
2214	1568
276	1194
1407	291
4335	1410
5529	1844
1144	135
1213	1148
6895	8351
4065	724
5554	5566
4579	1119
7236	1450
8086	7492
4739	1688
1964	1781
425	1702
1138	746
2639	1700
4907	940
421	1352
6201	904
2543	1218
8743	1688
310	1664
705	312
1046	511
4946	5090
1677	784
4002	1615
1076	153
1155	1014
916	2048
1407	276
1917	827
2063	2067
1216	276
2802	1254
4904	1822
2532	1688
9455	2317
6338	6472
3331	1427
313	1489
680	1371
1374	276
234	1544
1428	1004
2103	2225
7024	760
466	1216
3720	432
6860	1410
198	1194
2182	101
3462	3473
7410	724
2810	1374
0	1410
1139	880
432	1060
8179	870
3626	1664
1875	985
9627	5378
8202	8257
1054	746
3523	1742
1012	182
3546	3362
4614	4630
2710	2155
8825	1360
261	1890
354	1530
3804	746
1312	154
355	1688
1601	623
4970	1064
624	1688
2592	2544
1031	620
1248	1192
1939	1948
3598	330
2669	1216
4438	1502
2682	2021
2428	2437
508	65
342	154
7655	6519
5343	168
156	1568
3998	432
8400	6124
6836	6961
903	904
8094	432
425	1410
904	1427
1130	1004
2077	1410
1666	1586
1810	1688
8694	760
3473	3483
1269	306
6797	7216
1787	656
6558	1284
7797	7812
2137	2055
9483	9343
3530	3546
2829	1736
6678	5312
235	1410
1060	880
153	1688
487	1157
903	1060
1128	590
0	1544
780	1216
656	1283
626	784
1452	970
276	1688
705	940
306	1526
668	1508
627	784
590	1216
1329	1060
548	1568
369	1757
432	1374
627	1096
466	1374
480	1676
391	1254
746	1374
120	1688
626	1478
7275	1128
3758	3187
4997	4815
5855	5870
438	1850
668	509
1056	735
1433	1154
1234	1117
3151	2811
8149	4961
2288	1869
1999	1409
7374	4159
2343	760
9869	3074
1023	9310
2159	1905
153	1754
4872	814
120	1530
0	1634
830	3792
746	1206
784	827
590	2538
830	3567
940	694
306	1874
1172	814
0	1568
830	1175
1547	2085
1254	470
120	2270
830	1601
992	1031
1216	814
126	1929
312	1814
1178	1340
1530	512
0	1993
830	1601
1374	982
0	2105
746	1374
1060	1172
1254	772
182	2164
590	1608
1096	693
132	2223
746	1755
784	940
1688	590
120	2146
626	3056
1060	1217
1526	1253
0	1724
590	3255
1374	892
0	2038
746	1374
1178	1007
0	1881
904	1217
904	1363
1410	548
120	1844
746	2314
1096	1085
276	2001
1060	1765
1218	1032
306	2136
1374	981
174	2344
1216	1295
1688	904
156	1478
1060	590
432	1374
1392	348
276	1676
306	34910
832	9110
5421	5741
6550	6660
470	783
432	1205
623	3985
156	3424
1060	198
432	1844
156	32542
1196	1666
590	1497
827	2506
713	2475
1844	7483
1218	1479
7679	7757
590	1049
1238	1301
559	5219
830	2651
1928	1943
106	4441
432	1127
2007	2234
4841	9434
1178	480
7542	8034
746	1168
135	1099
1410	1138
276	2927
904	1962
182	1750
120	1101
606	1265
2038	2116
1396	1406
1121	2087
784	1875
1374	2980
746	1313
757	7360
5366	8971
200	1250
0	9024
9214	9986
904	914
889	2656
854	2198
952	1509
1254	312
510	557
230	249
156	1018
656	1585
121	1387
1044	3937
4324	9213
3477	3500
4232	6533
121	3509
314	1250
312	7996
590	1284
2138	2260
470	58486
1308	1316
423	1145
174	2726
276	7734
432	8465
156	1254
168	1341
811	2640
139	1446
276	1452
5500	5823
1410	1453
590	5350
2628	3014
2786	6359
904	6252
1178	3196
626	2656
2087	2234
938	1879
1096	380
780	4980
882	2573
663	1813
7020	7059
590	904
470	6875
456	1285
904	511
174	1916
184	1625
904	2419
1392	2072
1844	2052
569	3344
784	1085
904	981
746	6659
1207	1332
1071	1320
2000	2710
0	5999
120	1598
1004	1439
940	1566
8698	8706
954	3107
312	1254
