718	500
120	120
194	132
176	120
120	120
120	120
176	120
120	120
126	126
120	120
132	132
718	444
242	186
132	140
120	126
176	120
20	62
244	126
186	186
206	206
120	126
132	140
140	132
126	120
130	132
132	130
186	120
206	132
232	120
606	444
186	120
56	66
256	132
112	110
186	192
176	120
256	132
126	126
0	0
590	120
1066	710
600	440
590	120
1410	134
120	1688
276	1530
1530	276
132	1850
1688	254
940	626
120	1688
1060	590
696	1044
1060	746
1044	522
746	1060
626	940
830	1004
784	784
1688	120
784	626
954	954
904	814
120	1688
696	870
904	746
1688	120
746	1060
1688	120
1044	696
120	1598
746	1060
1060	746
132	1700
470	1164
1688	120
1216	590
590	1284
1874	132
1096	470
432	1284
120	1688
312	1164
1374	432
1164	312
7218	4135
1418	769
2090	1217
1978	1105
432	120
432	1284
1096	470
646	1216
1899	668
1836	2037
1414	718
623	1284
1096	536
590	1216
1178	656
626	1008
1060	746
590	1216
996	536
1090	1252
1116	858
906	1064
2258	1396
904	1128
784	850
1744	176
903	1178
870	770
904	904
954	1078
1004	830
120	1754
626	940
1874	132
904	814
746	1060
1688	186
940	470
194	1950
590	1216
1427	1900
590	2696
1624	1634
1999	1908
2795	3119
424	2642
1688	1688
1744	1810
1655	1905
1530	1530
1874	2086
1688	1754
1586	1598
1568	1568
1688	1822
1568	1634
1530	1598
1568	1702
1688	1688
1700	1776
1568	1634
1874	1950
1688	1754
1688	1822
1568	1702
1688	1822
1688	1822
1410	1544
1781	1781
1688	1822
1568	1702
1530	1598
1624	1634
1688	1754
1874	1950
1568	1478
444	3120
1430	2068
1742	1725
432	3008
1216	1912
1680	1655
432	3916
2673	2651
424	2642
1352	2398
1624	1814
1568	1814
1688	1530
470	2576
1060	2438
1530	1664
1688	1822
1937	2024
1655	1489
746	2472
904	2606
1530	1664
1688	1822
1688	1754
1568	1634
1688	1822
1688	1822
1688	1530
940	2038
656	3244
1742	1890
1568	1702
1530	1664
1688	1822
1688	1822
1615	1852
156	3046
1615	2018
1568	1642
1688	1754
1568	1634
1568	1634
276	3166
1530	1754
1568	1478
1568	1634
1688	1598
1874	2024
1568	1568
1530	1664
1374	1844
156	3112
1874	1950
1568	1702
1688	1688
1530	1664
1410	1478
1688	1781
1530	16642
1530	1664
1254	1858
276	3098
1688	1530
1530	1664
2986	2180
1004	2720
626	2508
1688	1754
1530	1688
1744	1832
1937	1838
784	2194
746	2762
1874	1850
1216	2000
348	3120
1688	1781
1410	1544
1568	1634
1688	1822
1568	1410
590	2784
1060	4016
1530	1598
1742	1890
1615	1687
1568	1634
1688	1781
1568	1702
1624	1478
1530	1754
369	3442
1410	1724
1744	1688
1410	1544
156	2800
1568	1410
590	2762
904	2472
784	2486
1597	1530
1999	2086
1178	2572
1650	2224
1688	1664
276	2942
1310	1992
1568	1716
1874	2024
1530	1664
1744	1688
312	2822
1216	1978
1624	1717
1530	1664
1800	1688
590	2840
2396	2597
1874	2024
1530	1754
1568	1624
1680	1736
1688	1822
1530	1664
1410	1544
1586	1710
1410	1544
1688	1754
1688	1530
784	2328
718	500
120	120
194	132
176	120
120	120
120	120
176	120
120	120
126	126
120	120
132	132
718	444
242	186
132	140
120	126
176	120
20	62
244	126
186	186
206	206
120	126
132	140
140	132
126	120
130	132
132	130
186	120
206	132
232	120
606	444
186	120
56	66
256	132
112	110
186	192
176	120
256	132
126	126
0	0
590	120
1066	710
600	440
590	120
1410	134
120	1688
276	1530
1530	276
132	1850
1688	254
940	626
120	1688
1060	590
696	1044
1060	746
1044	522
746	1060
626	940
830	1004
784	784
1688	120
784	626
954	954
904	814
120	1688
696	870
904	746
1688	120
746	1060
1688	120
1044	696
120	1598
746	1060
1060	746
132	1700
470	1164
1688	120
1216	590
590	1284
1874	132
1096	470
432	1284
120	1688
312	1164
1374	432
1164	312
7218	4135
1418	769
2090	1217
1978	1105
432	120
432	1284
1096	470
646	1216
1899	668
1836	2037
1414	718
623	1284
1096	536
590	1216
1178	656
626	1008
1060	746
590	1216
996	536
1090	1252
1116	858
906	1064
2258	1396
